NO;BUYER;CONTRACT NO;LOT;PO NO / L/C NO;BOOKING NO;B/L NO;COMMODITY;QTY;VOL;POL;POD;INCOTERMS;PAYMENT TERM; UNIT PRICE ; AMOUNT ; DISCOUNT AMOUNT ;BANK;"NGÀY TRÌNH
BTC";"DISCOUNT DATE
NGÀY CHI?T KH?U";ETD;DHL NO;PAYMENT DATE;Updating;31-Thg12;;;;;;;;;;;
63;JK;LTC2025/PD-JK/OCT;5;4100013148;DADF12186500;AP-25EX1060;SVR10;60,48;3;DAD;NHAVA;FOB;DP; 1.726,32 ; 104.407,83 ; 93.967,05 ;TP;16/12/2025;11/12/2025;14/12/2025; 18 6712 0371;01/01/2026;;;;;;;;;;;;;
64;ATC;LTC2024/PD-ATC-EOU/SEPT;6;5200006097;SUDUDAGTICAA0025;GLX251209;SVR10;100,8;5;DAD;NHAVA;FOB;DP; 1.750,38 ; 176.438,30 ; 158.794,47 ;TP;17/12/2025;10/12/2025;14/12/2025;26 0380 2736;29/12/2025;;;;;;;;;;;;;
65;KARNAPHULI;02/PD-KS/2025;-;424011060663-G;SITSGBGG464291;ELCKSGN25110507;SVR3L;19200;1;HCM;CHATTOGRAM;FOB;LC; 1,89 ; 36.288,00 ; 32.659,20 ;BIDV;17/12/2025;17/12/2025;12/12/2025; 42 5642 8304;05/01/2026;;;;;;;;;;;;;
66;JK;LTC2025/PD-JK/OCT;1;4100013146;041FX05492;VSE251893;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.726,32 ; 174.013,06 ; 156.611,75 ;BIDV;19/12/2025;19/12/2025;17/12/2025; 76 6154 4225;09/01/2026;;;;;;;;;;;;;
67;GRI;05/PD-GRI/2025;-; OB6094LC2515491;BC8QC25000393;C8QCB25000393;SVR 10;63;3;VCL;COLOMBO;CIF;LC 90 ngày; 1.815,00 ; 114.345,00 ; 102.910,50 ;BIDV;18/12/2025;18/12/2025;16/12/2025;2651929114;16/03/2026;;;;;;;;;;;;;
68;JK;LTC2025/PD-JK/NOV;4;4100013237;DADF12282900;AP-25EX1083;SVR10;60,48;3;DAD;CHENNAI;FOB;DP; 1.710,00 ; 103.420,80 ; 93.078,72 ;BIDV;25/12/2025;25/12/2025;25/12/2025;82 1778 5844;13/01/2026;;;;;;;;;;;;;
69;JK;LTC2025/PD-JK/OCT;6;4100013146;DADF11245700;AP-25EX0987;SVR10  ;40,32;2;DAD;CHENNAI;FOB;DP; 1.726,32 ; 69.605,22 ; 62.644,70 ;BIDV;25/12/2025;25/12/2025;25/12/2025;12 2595 8565;19/01/2026;;;;;;;;;;;;;
70;PANTHER ;01/PD-PAN/2025;-;2208125ILS17988P;039FY20991;039FY20991;SVR3L;40,32;2;HCM;KARACHI;CFR;LC; 1.935,00 ; 78.019,20 ; 70.217,28 ; EXIM ;29/12/2025;29/12/2025;27/12/2025; 96 9403 5750;04/02/2026;;;;;;;;;;;;;
71;ATC;LTC2024/PD-ATC-AP/NOV;1;5200006885;238500198544;TM225121159N;GRADE 10;120,96;6;DAD;GANGAVARAM ;FOB;DP; 2.009,27 ; 243.041,30 ; 218.737,17 ; TP ;05/01/2026;26/12/2025;31/12/2025; 31 6645 4955;29/01/2026;;;;;;;;;;;;;
72;CEAT;01/PD-CP/2025;;4100058560;7264979760;GLX251210;TSR20;113,4;5;DAD;NHAVA;FOB;LC upas 180 ngày; 1.750,00 ; 198.450,00 ; 178.605,00 ; TP ;28/12/2025;28/12/2025;26/12/2025;11 2074 5640;16/01/2026;;;;;;;;;;;;;
73;ATC;LTC2024/PD-ATC-AP/NOV;2;5200006885;238500198552;TM225121160N;GRADE 10;120,96;6;DAD;GANGAVARAM ;FOB;DP; 2.009,27 ; 243.041,30 ; 218.737,17 ; TP ;05/01/2026;26/12/2025;31/12/2025;11 2075 0562;26/01/2026;;;;;;;;;;;;;
74;ATC;LTC2024/PD-ATC-AP/NOV;3;5200006885;DADF13179800;GLX251211;GRADE 10;120,96;6;DAD;VISAKHAPATNAM;FOB;DP; 2.009,27 ; 243.041,30 ; 218.737,17 ; TP ;07/01/2026;29/12/2025;04/01/2026;42 1870 7032;21/01/2026;;;;;;;;;;;;;
75;GRI;06/PD-GRI/2025;1;OB6094LC2515491;BC8QC25000420;C8QCB25000420;SVR10  ;42;2;RCL;COLOMBO;CIF;LC 90 ngày; 1.885,00 ; 79.170,00 ;71253; VIETTIN ;05/01/2026;05/01/2026;30/12/2025; 33 4010 4574;30/03/2026;;;;;;;;;;;;;
76;JK ;LTC2025/PD-JK/NOV;1;4100013236;DADF12284400;AP-26EX0068;SVR10  ;100,8;5;DAD;NHAVA;FOB;DP; 1.710,00 ; 172.368,00 ;155131,2; TP ;06/01/2026;29/12/2025;04/01/2026;18 8770 6380;22/01/2026;;;;;;;;;;;;;
77;JK;LTC2025/PD-JK/NOV;2;4100013238;DADF13306700;AP-26EX0069;SVR10  ;141,12;7;DAD;CHENNAI;FOB;DP; 1.710,00 ; 241.315,20 ;217183,68; TP ;19/01/2026;30/12/2025;15/01/2026;53 3583 8944;03/02/2026;;;;;;;;;;;;;
78;INDO ;15/PD-AIC/2025/CI;-;-;HASLS21251202222;HASLS21251202222;SVR3L;42;2;HCM;JAKARTA;CIF;TT; 1.870,00 ; 78.540,00 ;-; AGRI ;-;-;01/01/2026;74 2101 1113;06/01/2026;;;;;;;;;;;;;
79;VITRY;01/PD-VME/2026;-;;EBKGV0000287  ;SLHPHGDK8351;RSS1;20,16;1;DAD;GDANSK;FOB;TT; 1.940,00 ; 39.110,40 ;-; VIETTIN ;-;-;17/01/2026;53 3579 6373;15/01/2026;;;;;;;;;;;;;
